SKU,Product Name,Description,Category,Brand,MRP,Purchase Cost,Qty,Colour,Material,Dimensions,Photo URL,Internal Tags,Supplier,External ID,Collection
HH-OFF-DESK-WAL-01,Walnut Compact Desk,"A compact walnut-finish workspace designed for smaller rooms without sacrificing usable desk space. Clean lines, softened edges and two drawers keep the silhouette calm.",Home Office,Haven Home,13499,9280,18,Dark Walnut,Engineered wood with walnut veneer,118 cm W × 58 cm D × 75 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-walnut-compact-desk-01.png?v=1788028337,"home-office,workspace,desk,dark-wood",Haven Home,walnut-compact-desk,Workspace Edit
HH-OFF-DESK-OAK-01,Oak Study Desk,"A light oak desk for focused mornings, with a generous surface and one drawer for everyday essentials.",Home Office,Haven Home,12999,8800,14,Natural Oak,Engineered wood with oak veneer,125 cm W × 60 cm D × 75 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-oak-study-desk-01.png?v=1788028347,"home-office,workspace,desk,oak",Haven Home,oak-study-desk,Workspace Edit
HH-OFF-DESK-HAV-01,Haven Writing Desk,"A considered writing desk with softened edges and a quiet profile for bedrooms, studies, and creative corners.",Home Office,Haven Home,16499,11100,11,Warm Oak,Oak veneer,110 cm W × 55 cm D × 74 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-haven-writing-desk-01.png?v=1788028357,"home-office,workspace,desk,writing",Haven Home,haven-writing-desk,Home Office
HH-OFF-DESK-ADJ-01,Height Adjustable Work Desk,"A calm sit-stand desk with a natural oak top and a quiet electric lift for flexible workdays.",Home Office,Haven Home,34999,24800,16,Natural Oak,Oak veneer with powder-coated steel base,140 cm W × 70 cm D × 73–121 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-height-adjustable-work-desk-01.png?v=1788028323,"home-office,workspace,desk,adjustable",Haven Home,height-adjustable-work-desk,Home Office
HH-OFF-CHAIR-LUN-01,Luna Desk Chair,"A softly sculpted desk chair upholstered in sand linen, designed for long, comfortable working sessions.",Home Office,Haven Home,11999,7600,24,Sand,Linen upholstery with oak legs,58 cm W × 60 cm D × 82 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-luna-desk-chair-01.png?v=1788028502,"home-office,workspace,chair,linen",Haven Home,luna-desk-chair,Workspace Edit
HH-OFF-CHAIR-HAV-01,Haven Executive Chair,"A supportive charcoal fabric chair with a high back and gentle contouring for considered home offices.",Home Office,Haven Home,19999,13900,19,Charcoal,Textured polyester fabric with oak base,66 cm W × 70 cm D × 108 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-haven-executive-chair-01.png?v=1788028402,"home-office,workspace,chair,executive",Haven Home,haven-executive-chair,Home Office
HH-LIV-CHAIR-MIR-01,Mira Lounge Chair,"An oatmeal linen lounge chair with a curved back and generous seat for slow afternoons.",Living Room,Haven Home,27999,18900,12,Oatmeal,Linen upholstery with oak legs,76 cm W × 78 cm D × 78 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-mira-lounge-chair-01.png?v=1788028380,"living-room,lounge,chair,linen",Haven Home,mira-lounge-chair,Living Room
HH-LIV-SOFA-ARD-01,Arden 3-Seater Sofa,"A warm stone linen sofa with deep cushions and a relaxed silhouette made for gathering.",Living Room,Haven Home,64999,44700,9,Warm Stone,Linen blend upholstery with hardwood frame,220 cm W × 95 cm D × 84 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-arden-3-seater-sofa-01.png?v=1788028298,"living-room,sofa,linen,hero",Haven Home,arden-3-seater-sofa,Living Room
HH-LIV-TABLE-LUN-01,Luna Side Table,"A rounded walnut side table that tucks neatly beside a sofa or lounge chair.",Living Room,Haven Home,10999,6900,22,Walnut,Walnut veneer,45 cm W × 45 cm D × 52 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-luna-side-table-01.png?v=1788028394,"living-room,table,side-table,walnut",Haven Home,luna-side-table,Living Room
HH-LIV-TABLE-ARC-01,Arc Coffee Table,"A softly rounded oval coffee table in natural oak, designed to anchor a room without crowding it.",Living Room,Haven Home,18999,12700,13,Natural Oak,Oak veneer,120 cm W × 62 cm D × 38 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-arc-coffee-table-01.png?v=1788028424,"living-room,table,coffee-table,oak",Haven Home,arc-coffee-table,Living Room
HH-LIV-CONSOLE-COV-01,Cove Media Console,"A walnut console with sliding cane doors and considered storage for living-room essentials.",Living Room,Haven Home,32999,22400,8,Walnut,Walnut veneer with cane doors,160 cm W × 42 cm D × 60 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-cove-media-console-01.png?v=1788028549,"living-room,console,storage,walnut",Haven Home,cove-media-console,Living Room
HH-BED-BED-HAV-01,Haven Platform Bed,"A low-profile walnut platform bed that gives the bedroom a calm, grounded centre.",Bedroom,Haven Home,54999,37900,7,Walnut,Walnut veneer with hardwood slats,180 cm W × 210 cm D × 34 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-haven-platform-bed-01.png?v=1788028534,"bedroom,bed,walnut,hero",Haven Home,haven-platform-bed,Bedroom
HH-BED-NIGHT-NIL-01,Nila Bedside Table,"A natural oak bedside table with one drawer and a generous shelf for nightly rituals.",Bedroom,Haven Home,8999,5600,26,Natural Oak,Oak veneer,45 cm W × 38 cm D × 58 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-nila-bedside-table-01.png?v=1788028435,"bedroom,bedside,storage,oak",Haven Home,nila-bedside-table,Bedroom
HH-BED-DRESS-ARC-01,Arc 6-Drawer Dresser,"A generous walnut dresser with six quiet-glide drawers and softened corners.",Bedroom,Haven Home,38999,26700,10,Walnut,Walnut veneer,150 cm W × 45 cm D × 78 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-arc-6-drawer-dresser-01.png?v=1788028476,"bedroom,dresser,storage,walnut",Haven Home,arc-6-drawer-dresser,Bedroom
HH-BED-BENCH-MIR-01,Mira Bedroom Bench,"An oatmeal linen bench with a light oak frame, made for the foot of the bed or a quiet hallway.",Bedroom,Haven Home,15999,10400,15,Oatmeal,Linen upholstery with oak legs,120 cm W × 40 cm D × 46 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-mira-bedroom-bench-01.png?v=1788028577,"bedroom,bench,linen,oak",Haven Home,mira-bedroom-bench,Bedroom
HH-DIN-TABLE-ARD-01,Arden Dining Table,"A welcoming solid oak dining table with a softly rounded top for long lunches and easy evenings.",Dining,Haven Home,42999,29600,9,Natural Oak,Solid oak,180 cm W × 90 cm D × 75 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-arden-dining-table-01.png?v=1788028370,"dining,table,oak,hero",Haven Home,arden-dining-table,Dining
HH-DIN-CHAIR-NIL-01,Nila Dining Chair,"A natural oak dining chair with a woven cane back and an easy, supportive seat.",Dining,Haven Home,8999,5800,28,Natural Oak,Oak with woven cane,48 cm W × 54 cm D × 80 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-nila-dining-chair-01.png?v=1788028564,"dining,chair,cane,oak",Haven Home,nila-dining-chair,Dining
HH-DIN-BENCH-COV-01,Cove Dining Bench,"A walnut dining bench with a comfortable upholstered seat for flexible hosting.",Dining,Haven Home,14999,9700,18,Walnut,Walnut veneer with linen upholstery,140 cm W × 42 cm D × 48 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-cove-dining-bench-01.png?v=1788028465,"dining,bench,walnut,linen",Haven Home,cove-dining-bench,Dining
HH-DIN-STOOL-ARC-01,Arc Bar Stool,"A natural oak counter stool with a curved backrest and a quietly balanced silhouette.",Dining,Haven Home,9999,6400,20,Natural Oak,Oak with linen seat,48 cm W × 50 cm D × 90 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-arc-bar-stool-01.png?v=1788028445,"dining,stool,oak,bar",Haven Home,arc-bar-stool,Dining
HH-ACC-LAMP-ARC-01,Arc Desk Lamp,"A warm brass and linen desk lamp with a sculpted arc for focused, gentle light.",Lighting & Accessories,Haven Home,3999,2200,68,Warm Brass,Brushed brass with linen shade,28 cm W × 18 cm D × 42 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-arc-desk-lamp-01.png?v=1788028455,"lighting,accessories,desk,lamp,workspace",Haven Home,arc-desk-lamp,Workspace Edit
HH-ACC-LAMP-LUM-01,Luma Floor Lamp,"A walnut and linen floor lamp that creates a soft pool of ambient light beside a sofa or bed.",Lighting & Accessories,Haven Home,12999,7600,34,Walnut,Walnut with linen shade,42 cm W × 42 cm D × 150 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-luma-floor-lamp-01.png?v=1788028518,"lighting,accessories,floor-lamp,walnut",Haven Home,luma-floor-lamp,Lighting & Accessories
HH-ACC-DESK-CAB-01,Haven Cable Organizer,"A walnut desktop cable organizer with a felt-lined channel for a calmer workspace.",Lighting & Accessories,Haven Home,1499,800,76,Walnut,Walnut veneer with felt lining,42 cm W × 10 cm D × 5 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-haven-cable-organizer-01.png?v=1788028490,"lighting,accessories,workspace,desk,organizer",Haven Home,haven-cable-organizer,Workspace Edit
HH-ACC-DESK-TRY-01,Nila Desk Tray,"A natural oak catch-all tray for notebooks, keys, and the small things that gather around a desk.",Lighting & Accessories,Haven Home,999,520,82,Natural Oak,Oak veneer,32 cm W × 22 cm D × 4 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-nila-desk-tray-01.png?v=1788028412,"lighting,accessories,workspace,desk,organizer",Haven Home,nila-desk-tray,Workspace Edit
HH-ACC-LAMP-MIR-01,Mira Side Lamp,"An ivory ceramic and linen side lamp with a warm, quiet glow for bedside tables and consoles.",Lighting & Accessories,Haven Home,4999,2900,42,Ivory,Ceramic with linen shade,24 cm W × 24 cm D × 34 cm H,https://cdn.shopify.com/s/files/1/0780/9486/0443/files/haven-home-mira-side-lamp-01.png?v=1788028311,"lighting,accessories,side-lamp,bedroom",Haven Home,mira-side-lamp,Lighting & Accessories
